Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-LDL-PL%,510,1.085 [0.982-1.198],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
XL-HDL-FC,590,1.029 [0.983-1.076],1.000,,Free Cholesterol in Very Large HDL
Total-P,531,1.027 [0.907-1.163],1.000,,Total-Concentration of Lipoprotein Particles
L-HDL-C%,622,1.020 [0.973-1.070],1.000,,Cholesterol to Total-Lipids in Large HDL percentage
L-HDL-L,623,1.010 [0.969-1.053],1.000,,Total-Lipids in Large HDL
L-HDL-TG%,637,0.990 [0.943-1.040],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
S-LDL-L,511,0.984 [0.904-1.071],1.000,,Total-Lipids in Small LDL
3-Hydroxybutyrate,68,0.977 [0.809-1.179],1.000,,3-Hydroxybutyrate
M-LDL-CE,550,0.970 [0.889-1.059],1.000,,Cholesteryl Esters in Medium LDL
SFA,553,0.918 [0.828-1.017],1.000,,Saturated Fatty Acids
