Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-LDL-PL%,510,1.151 [1.090-1.216],0.109,,Phospholipids to Total-Lipids in Small LDL percentage
Pyruvate,37,1.083 [0.885-1.324],1.000,,Pyruvate
M-VLDL-C%,604,1.038 [0.988-1.091],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
XL-HDL-CE,664,1.031 [0.990-1.074],1.000,,Cholesteryl Esters in Very Large HDL
Omega-6/Omega-3,257,1.024 [0.994-1.056],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XS-VLDL-TG,678,0.897 [0.864-0.932],0.006,**,Triglycerides in Very Small VLDL
HDL-TG,593,0.894 [0.858-0.932],0.028,*,Triglycerides in HDL
S-VLDL-P,669,0.891 [0.854-0.929],0.021,*,Concentration of Small VLDL Particles
S-LDL-TG,690,0.891 [0.853-0.929],0.025,*,Triglycerides in Small LDL
S-VLDL-L,665,0.889 [0.851-0.928],0.016,*,Total-Lipids in Small VLDL
PUFA,699,0.872 [0.834-0.911],3.380e-04,***,Polyunsaturated Fatty Acids
LA,635,0.868 [0.825-0.912],0.005,**,Linoleic Acid
S-LDL-CE%,545,0.866 [0.821-0.913],0.025,*,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Omega-6,651,0.857 [0.816-0.900],1.796e-04,***,Omega-6 Fatty Acids
Total-FA,654,0.850 [0.811-0.891],2.759e-06,***,Total-Fatty Acids
MUFA,654,0.839 [0.800-0.880],2.048e-07,***,Monounsaturated Fatty Acids
GlycA,385,0.784 [0.727-0.846],8.770e-05,***,Glycoprotein Acetyls
