Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Unsaturation,310,1.055 [1.032-1.079],0.552,,Degree of Unsaturation
LDL-size,178,1.019 [0.958-1.085],1.000,,Average Diameter for LDL Particles
Clinical LDL-C,463,1.018 [0.982-1.055],1.000,,Clinical LDL Cholesterol
LDL-PL,473,1.017 [0.981-1.053],1.000,,Phospholipids in LDL
L-VLDL-C%,395,1.005 [0.972-1.039],1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
HDL-L,598,0.994 [0.961-1.028],1.000,,Total-Lipids in HDL
M-HDL-L,576,0.982 [0.945-1.020],1.000,,Total-Lipids in Medium HDL
S-VLDL-TG%,564,0.969 [0.939-1.001],1.000,,Triglycerides to Total-Lipids in Small VLDL percentage
Phosphoglyc,609,0.969 [0.935-1.003],1.000,,Phosphoglycerides
LA,635,0.917 [0.886-0.950],0.404,,Linoleic Acid
