Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Unsaturation,310,1.036 [1.020-1.051],0.883,,Degree of Unsaturation
PC,606,1.029 [1.009-1.050],1.000,,Phosphatidylcholines
IDL-FC,587,1.027 [1.006-1.049],1.000,,Free Cholesterol in IDL
S-LDL-PL%,510,1.012 [0.989-1.036],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
ApoB/ApoA1,542,1.004 [0.980-1.028],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
S-HDL-TG%,677,0.985 [0.965-1.005],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
S-VLDL-TG%,564,0.971 [0.951-0.992],1.000,,Triglycerides to Total-Lipids in Small VLDL percentage
Ala,85,0.964 [0.909-1.022],1.000,,Alanine
Total-BCAA,38,0.943 [0.859-1.036],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Acetone,15,0.891 [0.764-1.039],1.000,,Acetone
