Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Val,50,1.232 [1.028-1.476],1.000,,Valine
Creatinine,126,1.085 [0.915-1.286],1.000,,Creatinine
IDL-C%,558,1.079 [1.036-1.124],1.000,,Cholesterol to Total-Lipids in IDL percentage
Gly,134,1.042 [0.986-1.101],1.000,,Glycine
IDL-P,505,1.027 [0.978-1.077],1.000,,Concentration of IDL Particles
M-LDL-TG%,456,0.948 [0.911-0.987],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-HDL-TG%,657,0.932 [0.897-0.969],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
L-VLDL-FC,648,0.932 [0.891-0.974],1.000,,Free Cholesterol in Large VLDL
M-HDL-PL%,489,0.885 [0.841-0.932],0.792,,Phospholipids to Total-Lipids in Medium HDL percentage
XS-VLDL-PL%,375,0.867 [0.817-0.921],0.740,,Phospholipids to Total-Lipids in Very Small VLDL percentage
