Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
3-Hydroxybutyrate,68,1.071 [0.849-1.350],1.000,,3-Hydroxybutyrate
M-HDL-PL%,489,1.069 [0.999-1.144],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
VLDL-FC,630,1.043 [0.982-1.109],1.000,,Free Cholesterol in VLDL
XL-VLDL-PL,607,1.039 [0.977-1.106],1.000,,Phospholipids in Very Large VLDL
XL-HDL-P,581,1.023 [0.976-1.073],1.000,,Concentration of Very Large HDL Particles
L-LDL-TG%,474,0.993 [0.942-1.047],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
M-VLDL-TG%,609,0.961 [0.900-1.027],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-HDL-CE,607,0.954 [0.898-1.014],1.000,,Cholesteryl Esters in Medium HDL
GlycA,385,0.914 [0.837-0.998],1.000,,Glycoprotein Acetyls
Tyr,120,0.874 [0.758-1.008],1.000,,Tyrosine
