Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Phe,17,1.108 [0.787-1.559],1.000,,Phenylalanine
M-LDL-CE%,368,1.029 [0.960-1.103],1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-HDL-P,598,1.020 [0.963-1.080],1.000,,Concentration of Medium HDL Particles
S-VLDL-P,669,1.006 [0.951-1.063],1.000,,Concentration of Small VLDL Particles
M-LDL-CE,550,1.003 [0.940-1.070],1.000,,Cholesteryl Esters in Medium LDL
M-LDL-P,508,0.998 [0.936-1.063],1.000,,Concentration of Medium LDL Particles
M-HDL-PL,545,0.990 [0.931-1.053],1.000,,Phospholipids in Medium HDL
M-VLDL-PL%,523,0.981 [0.930-1.034],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
M-LDL-FC,407,0.976 [0.920-1.035],1.000,,Free Cholesterol in Medium LDL
LDL-FC,411,0.973 [0.918-1.032],1.000,,Free Cholesterol in LDL
