Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-VLDL-CE%,509,1.019 [0.989-1.049],1.000,,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
Total-BCAA,38,1.015 [0.903-1.141],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XL-VLDL-CE,617,1.013 [0.984-1.043],1.000,,Cholesteryl Esters in Very Large VLDL
XL-VLDL-FC,610,1.011 [0.981-1.042],1.000,,Free Cholesterol in Very Large VLDL
XL-HDL-TG%,642,1.011 [0.983-1.039],1.000,,Triglycerides to Total-Lipids in Very Large HDL percentage
XL-HDL-PL%,441,0.997 [0.972-1.023],1.000,,Phospholipids to Total-Lipids in Very Large HDL percentage
XS-VLDL-C,604,0.994 [0.970-1.018],1.000,,Cholesterol in Very Small VLDL
XL-HDL-PL,562,0.992 [0.970-1.016],1.000,,Phospholipids in Very Large HDL
LA,635,0.923 [0.898-0.950],0.007,**,Linoleic Acid
Tyr,120,0.847 [0.793-0.905],0.222,,Tyrosine
