Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-LDL-FC%,687,1.159 [1.101-1.219],0.003,**,Free Cholesterol to Total-Lipids in Large LDL percentage
PUFA/MUFA,484,1.145 [1.097-1.195],1.465e-04,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
PUFA%,371,1.142 [1.089-1.198],0.013,*,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
DHA%,240,1.108 [1.072-1.144],1.338e-04,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
Unsaturation,310,1.091 [1.063-1.119],1.440e-05,***,Degree of Unsaturation
Omega-3%,215,1.073 [1.052-1.094],2.444e-07,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Omega-6/Omega-3,257,0.935 [0.916-0.954],1.572e-05,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
S-VLDL-L,665,0.878 [0.836-0.922],0.047,*,Total-Lipids in Small VLDL
S-LDL-TG,690,0.864 [0.821-0.909],0.004,**,Triglycerides in Small LDL
MUFA%,525,0.861 [0.822-0.901],2.686e-05,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-CE%,545,0.842 [0.789-0.898],0.046,*,Cholesteryl Esters to Total-Lipids in Small LDL percentage
LA,635,0.823 [0.774-0.874],5.620e-05,***,Linoleic Acid
MUFA,654,0.818 [0.770-0.868],9.267e-06,***,Monounsaturated Fatty Acids
