Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
MUFA%,525,1.126 [1.088-1.165],2.371e-06,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Omega-6/Omega-3,257,1.088 [1.057-1.120],0.002,**,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
IDL-TG%,635,1.054 [1.020-1.088],1.000,,Triglycerides to Total-Lipids in IDL percentage
VLDL-TG,582,1.030 [0.992-1.068],1.000,,Triglycerides in VLDL
L-HDL-TG,449,1.000 [0.976-1.025],1.000,,Triglycerides in Large HDL
Omega-3,420,0.929 [0.905-0.955],0.023,*,Omega-3 Fatty Acids
XL-HDL-CE,664,0.919 [0.890-0.948],0.037,*,Cholesteryl Esters in Very Large HDL
L-HDL-FC%,532,0.919 [0.891-0.948],0.033,*,Free Cholesterol to Total-Lipids in Large HDL percentage
XL-HDL-C,653,0.918 [0.889-0.948],0.032,*,Cholesterol in Very Large HDL
Omega-3%,215,0.917 [0.890-0.944],0.001,**,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Unsaturation,310,0.905 [0.878-0.933],2.364e-05,***,Degree of Unsaturation
DHA,289,0.904 [0.874-0.935],8.350e-04,***,Docosahexaenoic Acid
PUFA/MUFA,484,0.888 [0.855-0.923],2.456e-04,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
DHA%,240,0.885 [0.851-0.920],1.469e-04,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
PUFA%,371,0.870 [0.826-0.916],0.033,*,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
