Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Ile,28,1.658 [0.419-6.560],1.000,,Isoleucine
Total-P,531,1.104 [0.837-1.455],1.000,,Total-Concentration of Lipoprotein Particles
XXL-VLDL-CE,621,1.067 [0.845-1.349],1.000,,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XL-HDL-CE,664,1.015 [0.829-1.243],1.000,,Cholesteryl Esters in Very Large HDL
XL-HDL-PL%,441,1.004 [0.806-1.250],1.000,,Phospholipids to Total-Lipids in Very Large HDL percentage
XL-HDL-L,598,0.998 [0.817-1.219],1.000,,Total-Lipids in Very Large HDL
VLDL-PL,674,0.903 [0.719-1.134],1.000,,Phospholipids in VLDL
IDL-FC%,332,0.831 [0.612-1.129],1.000,,Free Cholesterol to Total-Lipids in IDL percentage
M-VLDL-PL%,523,0.686 [0.537-0.877],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
XL-VLDL-FC%,397,0.565 [0.414-0.772],1.000,,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
