Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-LDL-C%,261,1.780 [1.308-2.422],1.000,,Cholesterol to Total-Lipids in Small LDL percentage
3-Hydroxybutyrate,68,1.705 [0.756-3.849],1.000,,3-Hydroxybutyrate
S-HDL-PL,489,1.486 [1.175-1.880],1.000,,Phospholipids in Small HDL
L-VLDL-CE%,492,1.144 [0.917-1.428],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-HDL-TG%,657,1.054 [0.875-1.270],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
M-VLDL-P,612,0.872 [0.711-1.071],1.000,,Concentration of Medium VLDL Particles
L-VLDL-FC,648,0.836 [0.680-1.027],1.000,,Free Cholesterol in Large VLDL
XL-HDL-PL%,441,0.826 [0.682-1.000],1.000,,Phospholipids to Total-Lipids in Very Large HDL percentage
Omega-3,420,0.820 [0.718-0.936],1.000,,Omega-3 Fatty Acids
Creatinine,126,0.501 [0.213-1.180],1.000,,Creatinine
