Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
His,43,1.308 [0.906-1.889],1.000,,Histidine
L-VLDL-FC%,331,1.040 [0.958-1.128],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
Total-L,626,1.017 [0.947-1.092],1.000,,Total-Lipids in Lipoprotein Particles
S-HDL-PL%,367,1.017 [0.944-1.096],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
LDL-size,178,1.002 [0.853-1.177],1.000,,Average Diameter for LDL Particles
Clinical LDL-C,463,0.996 [0.922-1.076],1.000,,Clinical LDL Cholesterol
IDL-FC,587,0.992 [0.925-1.065],1.000,,Free Cholesterol in IDL
Total-FA,654,0.991 [0.927-1.059],1.000,,Total-Fatty Acids
ApoB,565,0.987 [0.918-1.061],1.000,,Apolipoprotein B
SFA%,94,0.899 [0.736-1.098],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
