Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Creatinine,126,1.139 [0.886-1.466],1.000,,Creatinine
XXL-VLDL-CE,621,1.082 [1.014-1.156],1.000,,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
M-VLDL-PL,632,1.072 [1.003-1.145],1.000,,Phospholipids in Medium VLDL
S-HDL-FC,483,1.016 [0.931-1.108],1.000,,Free Cholesterol in Small HDL
S-HDL-PL,489,1.015 [0.933-1.105],1.000,,Phospholipids in Small HDL
Leu,36,0.979 [0.660-1.451],1.000,,Leucine
XL-HDL-FC,590,0.957 [0.903-1.015],1.000,,Free Cholesterol in Very Large HDL
XL-HDL-P,581,0.936 [0.886-0.989],1.000,,Concentration of Very Large HDL Particles
HDL-CE,611,0.850 [0.796-0.908],0.331,,Cholesteryl Esters in HDL
M-HDL-C,607,0.843 [0.785-0.905],0.607,,Cholesterol in Medium HDL
