Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
PUFA/MUFA,484,1.191 [1.098-1.292],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
S-HDL-C%,436,1.120 [1.040-1.208],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
M-HDL-CE%,557,1.102 [1.026-1.184],1.000,,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
S-HDL-FC%,491,1.076 [1.023-1.131],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
HDL-FC,599,1.044 [0.974-1.120],1.000,,Free Cholesterol in HDL
Phosphoglyc,609,0.955 [0.890-1.025],1.000,,Phosphoglycerides
Total-TG,641,0.893 [0.829-0.963],1.000,,Total-Triglycerides
S-LDL-CE%,545,0.829 [0.767-0.896],0.531,,Cholesteryl Esters to Total-Lipids in Small LDL percentage
L-HDL-PL%,508,0.808 [0.741-0.881],0.362,,Phospholipids to Total-Lipids in Large HDL percentage
S-HDL-L,442,0.807 [0.737-0.884],0.976,,Total-Lipids in Small HDL
