Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Citrate,102,1.127 [0.909-1.398],1.000,,Citrate
M-VLDL-P,612,1.113 [1.029-1.204],1.000,,Concentration of Medium VLDL Particles
ApoB,565,1.100 [1.018-1.189],1.000,,Apolipoprotein B
PUFA/MUFA,484,1.032 [0.953-1.117],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XXL-VLDL-P,529,1.003 [0.923-1.090],1.000,,Concentration of Chylomicrons and Extremely Large VLDL Particles
XL-HDL-CE%,259,0.979 [0.895-1.070],1.000,,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
M-VLDL-TG%,609,0.966 [0.889-1.050],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
XL-HDL-TG%,642,0.948 [0.879-1.022],1.000,,Triglycerides to Total-Lipids in Very Large HDL percentage
LA%,226,0.933 [0.849-1.025],1.000,,Linoleic Acid to Total-Fatty Acids percentage
XL-HDL-FC%,547,0.897 [0.838-0.960],1.000,,Free Cholesterol to Total-Lipids in Very Large HDL percentage
