Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
VLDL-L,623,1.041 [0.995-1.089],1.000,,Total-Lipids in VLDL
M-LDL-TG,658,1.039 [0.999-1.081],1.000,,Triglycerides in Medium LDL
XXL-VLDL-FC,557,1.026 [0.979-1.074],1.000,,Free Cholesterol in Chylomicrons and Extremely Large VLDL
VLDL-CE,621,1.022 [0.979-1.067],1.000,,Cholesteryl Esters in VLDL
S-HDL-TG,681,1.019 [0.978-1.062],1.000,,Triglycerides in Small HDL
M-LDL-FC%,651,0.995 [0.952-1.039],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-TG%,609,0.966 [0.921-1.014],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
Omega-6/Omega-3,257,0.942 [0.914-0.971],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Lactate,22,0.858 [0.625-1.178],1.000,,Lactate
Acetone,15,0.778 [0.519-1.166],1.000,,Acetone
