Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Ile,28,1.244 [0.973-1.591],1.000,,Isoleucine
L-HDL-CE%,562,1.131 [1.076-1.189],0.354,,Cholesteryl Esters to Total-Lipids in Large HDL percentage
His,43,1.123 [0.895-1.410],1.000,,Histidine
M-HDL-P,598,1.057 [0.973-1.148],1.000,,Concentration of Medium HDL Particles
LA%,226,1.016 [0.963-1.071],1.000,,Linoleic Acid to Total-Fatty Acids percentage
XL-HDL-FC,590,0.992 [0.954-1.032],1.000,,Free Cholesterol in Very Large HDL
Omega-3%,215,0.991 [0.962-1.021],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
Total-PL,628,0.941 [0.864-1.025],1.000,,Total-Phospholipids in Lipoprotein Particles
Total-L,626,0.875 [0.804-0.953],1.000,,Total-Lipids in Lipoprotein Particles
XL-VLDL-PL%,398,0.848 [0.790-0.909],0.948,,Phospholipids to Total-Lipids in Very Large VLDL percentage
