Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-VLDL-C,622,1.156 [1.065-1.255],1.000,,Cholesterol in Large VLDL
IDL-FC,587,1.083 [0.998-1.176],1.000,,Free Cholesterol in IDL
S-LDL-PL%,510,1.033 [0.920-1.159],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
S-HDL-TG,681,1.023 [0.947-1.104],1.000,,Triglycerides in Small HDL
XS-VLDL-TG,678,1.016 [0.941-1.097],1.000,,Triglycerides in Very Small VLDL
XL-HDL-PL%,441,0.991 [0.928-1.059],1.000,,Phospholipids to Total-Lipids in Very Large HDL percentage
XL-HDL-FC,590,0.985 [0.918-1.056],1.000,,Free Cholesterol in Very Large HDL
Ala,85,0.974 [0.799-1.186],1.000,,Alanine
XL-VLDL-TG%,444,0.920 [0.844-1.002],1.000,,Triglycerides to Total-Lipids in Very Large VLDL percentage
S-HDL-PL,489,0.848 [0.737-0.974],1.000,,Phospholipids in Small HDL
