Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-LDL-PL%,510,1.039 [1.014-1.065],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
M-LDL-FC%,651,1.021 [0.999-1.045],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-P,598,1.020 [0.992-1.050],1.000,,Concentration of Medium HDL Particles
S-LDL-FC%,578,1.015 [0.994-1.035],1.000,,Free Cholesterol to Total-Lipids in Small LDL percentage
XL-HDL-CE,664,1.008 [0.988-1.029],1.000,,Cholesteryl Esters in Very Large HDL
MUFA%,525,0.977 [0.956-0.997],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-LDL-TG,690,0.973 [0.954-0.993],1.000,,Triglycerides in Small LDL
M-HDL-TG,617,0.972 [0.953-0.990],1.000,,Triglycerides in Medium HDL
Total-FC,546,0.959 [0.935-0.984],1.000,,Total-Free Cholesterol
LA,635,0.942 [0.920-0.965],0.215,,Linoleic Acid
