Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Acetoacetate,15,1.220 [0.929-1.603],1.000,,Acetoacetate
Total-P,531,1.121 [1.070-1.175],0.375,,Total-Concentration of Lipoprotein Particles
HDL-P,547,1.115 [1.065-1.168],0.875,,Concentration of HDL Particles
L-LDL-CE,502,1.052 [1.007-1.100],1.000,,Cholesteryl Esters in Large LDL
L-HDL-C,671,1.041 [1.002-1.082],1.000,,Cholesterol in Large HDL
S-HDL-TG,681,1.000 [0.961-1.040],1.000,,Triglycerides in Small HDL
L-VLDL-TG,567,0.992 [0.949-1.038],1.000,,Triglycerides in Large VLDL
Omega-6/Omega-3,257,0.976 [0.952-1.000],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
XXL-VLDL-C,589,0.973 [0.933-1.015],1.000,,Cholesterol in Chylomicrons and Extremely Large VLDL
L-VLDL-PL%,580,0.965 [0.930-1.001],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
