Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
LDL-C,476,1.033 [0.993-1.075],1.000,,LDL Cholesterol
XS-VLDL-FC%,460,1.031 [0.993-1.071],1.000,,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
M-LDL-CE%,368,1.025 [0.986-1.065],1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Omega-3,420,1.019 [0.991-1.047],1.000,,Omega-3 Fatty Acids
L-HDL-TG,449,1.009 [0.980-1.038],1.000,,Triglycerides in Large HDL
S-HDL-C%,436,0.987 [0.961-1.014],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
S-VLDL-C%,527,0.985 [0.954-1.018],1.000,,Cholesterol to Total-Lipids in Small VLDL percentage
XXL-VLDL-CE%,176,0.978 [0.931-1.027],1.000,,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
LDL-size,178,0.973 [0.901-1.051],1.000,,Average Diameter for LDL Particles
M-LDL-PL%,271,0.934 [0.892-0.977],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
