Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Unsaturation,310,1.176 [1.108-1.249],0.021,*,Degree of Unsaturation
DHA,289,1.167 [1.094-1.244],0.688,,Docosahexaenoic Acid
Omega-3%,215,1.145 [1.086-1.206],0.097,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
HDL-FC,599,1.107 [1.023-1.198],1.000,,Free Cholesterol in HDL
S-HDL-PL%,367,1.025 [0.940-1.117],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
HDL-TG,593,0.979 [0.916-1.046],1.000,,Triglycerides in HDL
L-VLDL-C,622,0.919 [0.849-0.996],1.000,,Cholesterol in Large VLDL
L-VLDL-FC,648,0.911 [0.841-0.987],1.000,,Free Cholesterol in Large VLDL
Omega-6/Omega-3,257,0.872 [0.827-0.921],0.168,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
LA%,226,0.775 [0.698-0.861],0.474,,Linoleic Acid to Total-Fatty Acids percentage
