Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
L-LDL-CE%,344,1.067 [1.004-1.135],1.000,,Cholesteryl Esters to Total-Lipids in Large LDL percentage
M-VLDL-C,535,1.061 [1.010-1.115],1.000,,Cholesterol in Medium VLDL
L-LDL-P,541,1.051 [1.001-1.103],1.000,,Concentration of Large LDL Particles
M-LDL-FC,407,1.050 [0.995-1.107],1.000,,Free Cholesterol in Medium LDL
XL-HDL-CE%,259,1.008 [0.956-1.063],1.000,,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
XL-HDL-L,598,0.995 [0.957-1.034],1.000,,Total-Lipids in Very Large HDL
L-LDL-PL%,382,0.995 [0.951-1.041],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
XS-VLDL-CE%,644,0.991 [0.947-1.038],1.000,,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
M-LDL-FC%,651,0.958 [0.916-1.001],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
S-LDL-PL%,510,0.953 [0.907-1.000],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
