Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Phe,17,1.120 [0.794-1.580],1.000,,Phenylalanine
L-HDL-TG%,637,1.024 [0.977-1.073],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
M-LDL-CE%,368,1.012 [0.946-1.082],1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
MUFA%,525,1.011 [0.964-1.062],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
VLDL-TG,582,1.007 [0.954-1.063],1.000,,Triglycerides in VLDL
HDL-TG,593,1.000 [0.958-1.044],1.000,,Triglycerides in HDL
LA,635,0.979 [0.930-1.031],1.000,,Linoleic Acid
L-LDL-FC,474,0.973 [0.920-1.029],1.000,,Free Cholesterol in Large LDL
HDL-C,621,0.971 [0.923-1.021],1.000,,HDL Cholesterol
L-HDL-C,671,0.961 [0.919-1.005],1.000,,Cholesterol in Large HDL
