Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
XS-VLDL-FC%,460,1.636 [1.262-2.122],1.000,,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Clinical LDL-C,463,1.330 [1.069-1.655],1.000,,Clinical LDL Cholesterol
LDL-CE,506,1.265 [1.019-1.569],1.000,,Cholesteryl Esters in LDL
XL-VLDL-C%,486,1.100 [0.850-1.422],1.000,,Cholesterol to Total-Lipids in Very Large VLDL percentage
M-HDL-CE%,557,1.033 [0.853-1.250],1.000,,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
TG/PG,632,0.985 [0.800-1.214],1.000,,Triglycerides to Phosphoglycerides ratio
HDL-FC,599,0.935 [0.777-1.125],1.000,,Free Cholesterol in HDL
S-HDL-P,416,0.925 [0.718-1.191],1.000,,Concentration of Small HDL Particles
XL-HDL-FC,590,0.915 [0.765-1.095],1.000,,Free Cholesterol in Very Large HDL
S-HDL-PL%,367,0.842 [0.677-1.046],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
