Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
IDL-L,573,1.088 [0.962-1.231],1.000,,Total-Lipids in IDL
S-HDL-C%,436,1.055 [0.936-1.190],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
M-HDL-C%,632,1.027 [0.908-1.161],1.000,,Cholesterol to Total-Lipids in Medium HDL percentage
L-VLDL-FC,648,1.018 [0.898-1.154],1.000,,Free Cholesterol in Large VLDL
XXL-VLDL-FC,557,1.018 [0.893-1.160],1.000,,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-PL%,261,0.997 [0.841-1.183],1.000,,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-FC%,687,0.965 [0.851-1.094],1.000,,Free Cholesterol to Total-Lipids in Large LDL percentage
S-HDL-CE,360,0.962 [0.831-1.114],1.000,,Cholesteryl Esters in Small HDL
XL-HDL-FC%,547,0.944 [0.845-1.055],1.000,,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Glu,32,0.873 [0.427-1.786],1.000,,Glucose
