Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
PC,606,1.040 [1.005-1.077],1.000,,Phosphatidylcholines
M-HDL-FC%,609,1.038 [1.006-1.072],1.000,,Free Cholesterol to Total-Lipids in Medium HDL percentage
XL-VLDL-TG,570,1.027 [0.988-1.068],1.000,,Triglycerides in Very Large VLDL
M-VLDL-C,535,1.018 [0.978-1.060],1.000,,Cholesterol in Medium VLDL
S-VLDL-TG,687,1.017 [0.983-1.053],1.000,,Triglycerides in Small VLDL
M-HDL-PL%,489,0.996 [0.955-1.039],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
XL-HDL-TG%,642,0.982 [0.946-1.019],1.000,,Triglycerides to Total-Lipids in Very Large HDL percentage
DHA%,240,0.981 [0.949-1.015],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
L-VLDL-PL%,580,0.980 [0.948-1.013],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
His,43,0.862 [0.732-1.016],1.000,,Histidine
