Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
M-LDL-PL%,271,1.372 [1.212-1.553],0.141,,Phospholipids to Total-Lipids in Medium LDL percentage
XL-HDL-CE%,259,1.334 [1.194-1.491],0.084,,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-LDL-P,541,1.107 [1.000-1.225],1.000,,Concentration of Large LDL Particles
Total-PL,628,1.075 [0.961-1.202],1.000,,Total-Phospholipids in Lipoprotein Particles
VLDL-FC,630,1.014 [0.919-1.118],1.000,,Free Cholesterol in VLDL
SM,547,0.991 [0.893-1.100],1.000,,Sphingomyelins
L-HDL-TG,449,0.959 [0.883-1.042],1.000,,Triglycerides in Large HDL
Ala,85,0.909 [0.669-1.234],1.000,,Alanine
Unsaturation,310,0.872 [0.814-0.935],1.000,,Degree of Unsaturation
IDL-PL%,289,0.765 [0.685-0.854],0.431,,Phospholipids to Total-Lipids in IDL percentage
