Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
Omega-6%,366,1.013 [0.993-1.034],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
Citrate,102,1.007 [0.971-1.044],1.000,,Citrate
S-LDL-TG%,594,1.003 [0.988-1.017],1.000,,Triglycerides to Total-Lipids in Small LDL percentage
Tyr,120,1.002 [0.961-1.045],1.000,,Tyrosine
XS-VLDL-PL%,375,1.002 [0.982-1.024],1.000,,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-VLDL-C%,395,0.996 [0.979-1.012],1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
XL-HDL-L,598,0.995 [0.981-1.008],1.000,,Total-Lipids in Very Large HDL
IDL-PL,591,0.989 [0.976-1.002],1.000,,Phospholipids in IDL
IDL-L,573,0.989 [0.975-1.002],1.000,,Total-Lipids in IDL
LDL-CE,506,0.985 [0.970-1.000],1.000,,Cholesteryl Esters in LDL
