Abbreviations,N_snp,OR(95%CI),P(Bonferroni),P-star,Metabolite
S-HDL-CE,360,1.481 [1.217-1.802],1.000,,Cholesteryl Esters in Small HDL
XXL-VLDL-PL%,261,1.060 [0.844-1.330],1.000,,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-VLDL-TG,687,1.041 [0.892-1.215],1.000,,Triglycerides in Small VLDL
SFA,553,1.017 [0.851-1.215],1.000,,Saturated Fatty Acids
SM,547,1.010 [0.855-1.194],1.000,,Sphingomyelins
XS-VLDL-TG,678,0.995 [0.872-1.135],1.000,,Triglycerides in Very Small VLDL
L-HDL-C%,622,0.976 [0.826-1.153],1.000,,Cholesterol to Total-Lipids in Large HDL percentage
XS-VLDL-P,622,0.926 [0.809-1.060],1.000,,Concentration of Very Small VLDL Particles
S-LDL-C%,261,0.874 [0.672-1.137],1.000,,Cholesterol to Total-Lipids in Small LDL percentage
Acetone,15,0.393 [0.110-1.411],1.000,,Acetone
