Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-FC,1.30 [1.20-1.42],3.248e-04,***,Free Cholesterol in Medium HDL
M-HDL-P,1.30 [1.20-1.42],1.585e-04,***,Concentration of Medium HDL Particles
M-HDL-L,1.30 [1.19-1.41],2.150e-04,***,Total-Lipids in Medium HDL
HDL-PL,1.30 [1.19-1.42],7.425e-04,***,Phospholipids in HDL
M-HDL-PL,1.30 [1.20-1.41],1.405e-04,***,Phospholipids in Medium HDL
ApoA1,1.30 [1.19-1.41],6.843e-04,***,Apolipoprotein A1
HDL-L,1.29 [1.19-1.41],0.002,**,Total-Lipids in HDL
M-HDL-C,1.29 [1.19-1.41],7.592e-04,***,Cholesterol in Medium HDL
M-HDL-CE,1.29 [1.18-1.40],9.930e-04,***,Cholesteryl Esters in Medium HDL
HDL-FC,1.28 [1.17-1.40],0.022,*,Free Cholesterol in HDL
HDL-C,1.28 [1.17-1.40],0.022,*,HDL Cholesterol
HDL-CE,1.27 [1.16-1.39],0.028,*,Cholesteryl Esters in HDL
HDL-P,1.27 [1.17-1.38],0.003,**,Concentration of HDL Particles
Total-P,1.26 [1.16-1.36],0.016,*,Total-Concentration of Lipoprotein Particles
S-HDL-PL,1.24 [1.14-1.34],0.038,*,Phospholipids in Small HDL
Gln,0.99 [0.91-1.07],1.000,,Glutamine
His,0.99 [0.91-1.07],1.000,,Histidine
M-HDL-TG%,0.96 [0.88-1.05],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
M-LDL-FC%,0.96 [0.88-1.04],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Gly,0.94 [0.84-1.05],1.000,,Glycine
