Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.63 [1.42-1.88],1.478e-06,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.62 [1.42-1.86],9.051e-07,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-PL%,1.58 [1.37-1.83],1.057e-04,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.56 [1.36-1.79],3.289e-05,***,Triglycerides to Total-Lipids in Medium LDL percentage
XS-VLDL-TG%,1.53 [1.32-1.78],0.007,**,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-PL%,1.50 [1.30-1.74],0.007,**,Phospholipids to Total-Lipids in IDL percentage
L-LDL-FC%,0.71 [0.63-0.81],0.036,*,Free Cholesterol to Total-Lipids in Large LDL percentage
S-LDL-CE%,0.70 [0.61-0.80],0.046,*,Cholesteryl Esters to Total-Lipids in Small LDL percentage
LA%,0.69 [0.60-0.79],0.017,*,Linoleic Acid to Total-Fatty Acids percentage
XS-VLDL-C%,0.68 [0.60-0.78],5.459e-04,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-LDL-C%,0.68 [0.61-0.77],1.966e-05,***,Cholesterol to Total-Lipids in Medium LDL percentage
Total-L,0.67 [0.59-0.77],0.003,**,Total-Lipids in Lipoprotein Particles
XS-VLDL-CE%,0.67 [0.59-0.76],6.202e-05,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Total-PL,0.67 [0.58-0.78],0.017,*,Total-Phospholipids in Lipoprotein Particles
S-LDL-C%,0.67 [0.59-0.75],1.111e-05,***,Cholesterol to Total-Lipids in Small LDL percentage
IDL-C%,0.66 [0.58-0.74],2.541e-07,***,Cholesterol to Total-Lipids in IDL percentage
L-LDL-C%,0.66 [0.58-0.74],1.161e-06,***,Cholesterol to Total-Lipids in Large LDL percentage
M-LDL-L,0.65 [0.56-0.76],0.005,**,Total-Lipids in Medium LDL
LDL-L,0.65 [0.57-0.75],5.651e-04,***,Total-Lipids in LDL
S-LDL-L,0.65 [0.56-0.76],0.015,*,Total-Lipids in Small LDL
ApoB,0.65 [0.56-0.76],0.006,**,Apolipoprotein B
S-LDL-P,0.64 [0.55-0.76],0.032,*,Concentration of Small LDL Particles
PUFA,0.64 [0.56-0.75],8.923e-04,***,Polyunsaturated Fatty Acids
M-LDL-CE,0.64 [0.55-0.75],0.004,**,Cholesteryl Esters in Medium LDL
M-LDL-PL,0.64 [0.55-0.75],0.007,**,Phospholipids in Medium LDL
S-LDL-FC,0.64 [0.55-0.75],0.007,**,Free Cholesterol in Small LDL
Non-HDL-C,0.64 [0.56-0.74],6.499e-05,***,Total-Cholesterol Minus HDL-C
M-VLDL-FC,0.64 [0.54-0.76],0.030,*,Free Cholesterol in Medium VLDL
LDL-P,0.64 [0.54-0.76],0.025,*,Concentration of LDL Particles
LDL-CE,0.64 [0.55-0.74],3.151e-04,***,Cholesteryl Esters in LDL
Clinical LDL-C,0.64 [0.56-0.73],3.224e-05,***,Clinical LDL Cholesterol
L-LDL-L,0.64 [0.55-0.74],2.219e-04,***,Total-Lipids in Large LDL
LDL-C,0.64 [0.55-0.74],1.164e-04,***,LDL Cholesterol
M-LDL-C,0.64 [0.55-0.74],0.001,**,Cholesterol in Medium LDL
XS-VLDL-CE,0.64 [0.54-0.75],0.029,*,Cholesteryl Esters in Very Small VLDL
Remnant-C,0.63 [0.55-0.73],1.399e-04,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-C,0.63 [0.55-0.73],1.654e-05,***,Total-Cholesterol
SM,0.63 [0.54-0.74],0.004,**,Sphingomyelins
S-LDL-CE,0.63 [0.54-0.74],0.003,**,Cholesteryl Esters in Small LDL
M-LDL-P,0.63 [0.53-0.74],0.009,**,Concentration of Medium LDL Particles
LDL-PL,0.63 [0.54-0.73],4.322e-04,***,Phospholipids in LDL
IDL-CE%,0.63 [0.56-0.71],4.041e-09,***,Cholesteryl Esters to Total-Lipids in IDL percentage
L-LDL-CE,0.63 [0.54-0.73],2.047e-04,***,Cholesteryl Esters in Large LDL
S-LDL-C,0.63 [0.54-0.74],0.002,**,Cholesterol in Small LDL
Total-CE,0.63 [0.55-0.72],1.245e-05,***,Total-Esterified Cholesterol
Total-FC,0.62 [0.54-0.72],6.672e-05,***,Total-Free Cholesterol
L-LDL-C,0.62 [0.54-0.72],5.982e-05,***,Cholesterol in Large LDL
Omega-6,0.62 [0.54-0.72],4.831e-05,***,Omega-6 Fatty Acids
M-VLDL-C,0.62 [0.53-0.73],0.002,**,Cholesterol in Medium VLDL
IDL-PL,0.62 [0.53-0.73],0.001,**,Phospholipids in IDL
IDL-L,0.62 [0.53-0.72],4.700e-05,***,Total-Lipids in IDL
M-LDL-FC,0.62 [0.53-0.72],4.917e-04,***,Free Cholesterol in Medium LDL
M-VLDL-CE,0.61 [0.52-0.72],0.001,**,Cholesteryl Esters in Medium VLDL
L-LDL-PL,0.61 [0.52-0.71],6.370e-05,***,Phospholipids in Large LDL
LDL-FC,0.61 [0.52-0.71],3.259e-05,***,Free Cholesterol in LDL
LA,0.60 [0.52-0.69],8.024e-07,***,Linoleic Acid
IDL-FC,0.60 [0.51-0.70],9.707e-05,***,Free Cholesterol in IDL
IDL-C,0.59 [0.51-0.69],2.058e-06,***,Cholesterol in IDL
L-LDL-FC,0.59 [0.50-0.69],7.353e-06,***,Free Cholesterol in Large LDL
IDL-CE,0.58 [0.50-0.68],8.338e-07,***,Cholesteryl Esters in IDL
IDL-P,0.58 [0.49-0.69],7.086e-05,***,Concentration of IDL Particles
