Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Gly,1.22 [0.99-1.52],1.000,,Glycine
Gln,1.15 [0.99-1.34],1.000,,Glutamine
M-LDL-TG%,1.12 [0.97-1.29],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Ala,1.03 [0.89-1.21],1.000,,Alanine
His,1.02 [0.88-1.18],1.000,,Histidine
VLDL-CE,0.95 [0.81-1.11],1.000,,Cholesteryl Esters in VLDL
LDL-CE,0.87 [0.75-1.02],1.000,,Cholesteryl Esters in LDL
M-LDL-FC%,0.87 [0.76-1.00],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Total-CE,0.86 [0.74-1.00],1.000,,Total-Esterified Cholesterol
PUFA/MUFA,0.84 [0.72-0.98],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
