Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
GlycA,1.39 [1.22-1.60],0.342,,Glycoprotein Acetyls
M-LDL-TG%,1.22 [1.07-1.39],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-LDL-PL%,1.15 [1.00-1.33],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
S-HDL-TG%,1.02 [0.88-1.19],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
S-HDL-FC%,1.02 [0.88-1.18],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
S-LDL-C%,0.75 [0.66-0.84],0.417,,Cholesterol to Total-Lipids in Small LDL percentage
S-HDL-C,0.72 [0.62-0.83],0.765,,Cholesterol in Small HDL
S-HDL-CE,0.71 [0.62-0.82],0.723,,Cholesteryl Esters in Small HDL
S-HDL-P,0.71 [0.61-0.82],0.506,,Concentration of Small HDL Particles
Albumin,0.66 [0.59-0.75],1.520e-06,***,Albumin
