Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.14 [1.02-1.26],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
SFA,1.07 [0.96-1.19],1.000,,Saturated Fatty Acids
Omega-3,1.04 [0.93-1.17],1.000,,Omega-3 Fatty Acids
PUFA,1.01 [0.91-1.13],1.000,,Polyunsaturated Fatty Acids
Omega-6,1.01 [0.90-1.12],1.000,,Omega-6 Fatty Acids
VLDL-CE,0.97 [0.87-1.09],1.000,,Cholesteryl Esters in VLDL
Omega-6/Omega-3,0.96 [0.86-1.08],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Total-CE,0.96 [0.86-1.07],1.000,,Total-Esterified Cholesterol
PUFA/MUFA,0.91 [0.81-1.02],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-LDL-FC%,0.90 [0.81-1.00],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
