Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-TG%,1.26 [1.05-1.50],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
M-HDL-PL%,1.19 [1.01-1.41],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
Ala,1.14 [0.97-1.35],1.000,,Alanine
M-LDL-TG%,1.05 [0.89-1.24],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-LDL-CE%,1.05 [0.88-1.24],1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Total-FA,0.99 [0.84-1.17],1.000,,Total-Fatty Acids
Omega-3,0.96 [0.81-1.14],1.000,,Omega-3 Fatty Acids
SFA,0.96 [0.82-1.13],1.000,,Saturated Fatty Acids
M-LDL-FC%,0.93 [0.79-1.09],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-FC,0.72 [0.58-0.89],1.000,,Free Cholesterol in HDL
