Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-VLDL-PL%,1.08 [0.89-1.32],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,1.05 [0.86-1.28],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,1.02 [0.85-1.24],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,1.02 [0.85-1.23],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-HDL-FC%,1.02 [0.82-1.26],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
S-HDL-C%,0.98 [0.81-1.19],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
M-LDL-TG%,0.97 [0.80-1.18],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-TG%,0.95 [0.77-1.17],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-FC%,0.86 [0.72-1.03],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-LDL-PL%,0.78 [0.65-0.94],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
