Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.04 [1.01-1.08],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
ApoB,1.02 [0.99-1.06],1.000,,Apolipoprotein B
ApoB/ApoA1,1.02 [0.99-1.06],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
LDL-C,1.02 [0.98-1.05],1.000,,LDL Cholesterol
Clinical LDL-C,1.01 [0.97-1.04],1.000,,Clinical LDL Cholesterol
LA%,0.97 [0.94-1.01],1.000,,Linoleic Acid to Total-Fatty Acids percentage
PUFA%,0.97 [0.93-1.00],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
PUFA/MUFA,0.96 [0.93-1.00],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Omega-6%,0.95 [0.92-0.98],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-LDL-FC%,0.93 [0.90-0.96],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
