Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
L-VLDL-FC%,"0.517 [-0.668,1.701]",1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
L-LDL-TG%,"0.411 [-0.860,1.682]",1.000,,Triglycerides to Total-Lipids in Large LDL percentage
L-LDL-PL%,"0.383 [-0.832,1.599]",1.000,,Phospholipids to Total-Lipids in Large LDL percentage
M-LDL-PL%,"0.172 [-1.010,1.355]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
L-LDL-CE%,"0.060 [-1.157,1.277]",1.000,,Cholesteryl Esters to Total-Lipids in Large LDL percentage
MUFA,"-0.452 [-1.711,0.806]",1.000,,Monounsaturated Fatty Acids
LA,"-0.462 [-1.688,0.764]",1.000,,Linoleic Acid
M-LDL-FC%,"-0.715 [-1.987,0.558]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
DHA,"-1.583 [-2.805,-0.361]",1.000,,Docosahexaenoic Acid
Citrate,"-3.375 [-4.602,-2.148]",0.016,*,Citrate
