Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Omega-6/Omega-3,"3.891 [3.516,4.265]",1.381e-86,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
HDL-P,"3.452 [3.064,3.840]",1.012e-62,***,Concentration of HDL Particles
M-HDL-CE,"3.441 [3.042,3.839]",7.307e-59,***,Cholesteryl Esters in Medium HDL
M-HDL-C,"3.429 [3.029,3.828]",4.892e-58,***,Cholesterol in Medium HDL
ApoA1,"3.381 [2.980,3.781]",3.984e-56,***,Apolipoprotein A1
Total-P,"3.357 [2.970,3.743]",1.506e-59,***,Total-Concentration of Lipoprotein Particles
M-HDL-P,"3.331 [2.934,3.728]",2.606e-55,***,Concentration of Medium HDL Particles
M-HDL-L,"3.304 [2.910,3.698]",2.601e-55,***,Total-Lipids in Medium HDL
HDL-CE,"3.240 [2.823,3.656]",4.294e-47,***,Cholesteryl Esters in HDL
M-HDL-FC,"3.209 [2.806,3.611]",1.140e-49,***,Free Cholesterol in Medium HDL
HDL-C,"3.203 [2.785,3.621]",1.241e-45,***,HDL Cholesterol
HDL-L,"3.174 [2.764,3.585]",1.699e-46,***,Total-Lipids in HDL
M-HDL-PL,"3.140 [2.749,3.530]",1.231e-50,***,Phospholipids in Medium HDL
HDL-PL,"3.084 [2.678,3.490]",8.532e-45,***,Phospholipids in HDL
S-HDL-CE,"3.029 [2.664,3.393]",3.241e-54,***,Cholesteryl Esters in Small HDL
S-HDL-C,"3.023 [2.657,3.388]",1.167e-53,***,Cholesterol in Small HDL
S-HDL-PL,"2.984 [2.614,3.354]",5.840e-51,***,Phospholipids in Small HDL
S-HDL-P,"2.929 [2.564,3.294]",3.062e-50,***,Concentration of Small HDL Particles
S-HDL-L,"2.928 [2.560,3.296]",1.655e-49,***,Total-Lipids in Small HDL
IDL-CE%,"2.892 [2.515,3.268]",7.630e-46,***,Cholesteryl Esters to Total-Lipids in IDL percentage
HDL-FC,"2.796 [2.379,3.213]",4.267e-34,***,Free Cholesterol in HDL
S-HDL-FC,"2.610 [2.239,2.981]",7.761e-38,***,Free Cholesterol in Small HDL
Cholines,"2.599 [2.212,2.986]",3.594e-34,***,Total-Cholines
PC,"2.563 [2.174,2.952]",9.561e-33,***,Phosphatidylcholines
IDL-C%,"2.514 [2.137,2.892]",1.279e-33,***,Cholesterol to Total-Lipids in IDL percentage
Phosphoglyc,"2.475 [2.090,2.860]",4.625e-31,***,Phosphoglycerides
S-LDL-C%,"2.415 [2.044,2.785]",5.563e-32,***,Cholesterol to Total-Lipids in Small LDL percentage
M-HDL-FC%,"2.328 [1.912,2.744]",1.223e-22,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
XS-VLDL-CE%,"2.318 [1.926,2.710]",1.242e-25,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Total-PL,"2.236 [1.855,2.617]",2.936e-25,***,Total-Phospholipids in Lipoprotein Particles
Total-CE,"2.110 [1.733,2.486]",1.042e-22,***,Total-Esterified Cholesterol
XS-VLDL-C%,"2.081 [1.692,2.470]",2.551e-20,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
L-HDL-PL,"2.030 [1.603,2.457]",2.795e-15,***,Phospholipids in Large HDL
SM,"2.000 [1.613,2.387]",9.346e-19,***,Sphingomyelins
IDL-CE,"1.999 [1.623,2.376]",5.600e-20,***,Cholesteryl Esters in IDL
L-HDL-L,"1.970 [1.538,2.402]",9.304e-14,***,Total-Lipids in Large HDL
Total-C,"1.957 [1.582,2.332]",3.525e-19,***,Total-Cholesterol
IDL-C,"1.908 [1.531,2.284]",7.594e-18,***,Cholesterol in IDL
Omega-6,"1.841 [1.470,2.212]",5.191e-17,***,Omega-6 Fatty Acids
L-HDL-P,"1.835 [1.406,2.265]",1.257e-11,***,Concentration of Large HDL Particles
L-HDL-CE,"1.804 [1.372,2.236]",6.115e-11,***,Cholesteryl Esters in Large HDL
L-HDL-C,"1.796 [1.364,2.228]",9.055e-11,***,Cholesterol in Large HDL
L-LDL-FC%,"1.764 [1.375,2.153]",1.389e-13,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-HDL-C%,"1.729 [1.337,2.121]",1.270e-12,***,Cholesterol to Total-Lipids in Medium HDL percentage
Gln,"1.712 [1.342,2.081]",2.480e-14,***,Glutamine
IDL-L,"1.692 [1.315,2.068]",2.777e-13,***,Total-Lipids in IDL
L-LDL-FC,"1.672 [1.302,2.042]",2.022e-13,***,Free Cholesterol in Large LDL
L-HDL-FC,"1.649 [1.220,2.077]",1.066e-08,***,Free Cholesterol in Large HDL
LA,"1.647 [1.278,2.016]",4.998e-13,***,Linoleic Acid
S-LDL-CE%,"1.570 [1.204,1.936]",9.584e-12,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
L-LDL-C%,"1.562 [1.178,1.947]",3.730e-10,***,Cholesterol to Total-Lipids in Large LDL percentage
XL-HDL-CE%,"1.562 [1.193,1.931]",2.356e-11,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
S-VLDL-FC%,"1.556 [1.173,1.938]",3.775e-10,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
Total-L,"1.548 [1.179,1.917]",4.615e-11,***,Total-Lipids in Lipoprotein Particles
S-VLDL-PL%,"1.533 [1.152,1.915]",7.893e-10,***,Phospholipids to Total-Lipids in Small VLDL percentage
L-LDL-PL,"1.530 [1.163,1.897]",6.687e-11,***,Phospholipids in Large LDL
IDL-FC,"1.507 [1.131,1.883]",9.494e-10,***,Free Cholesterol in IDL
L-LDL-C,"1.503 [1.135,1.870]",2.550e-10,***,Cholesterol in Large LDL
Total-FC,"1.503 [1.131,1.874]",5.512e-10,***,Total-Free Cholesterol
LDL-FC,"1.499 [1.132,1.867]",2.959e-10,***,Free Cholesterol in LDL
L-LDL-L,"1.474 [1.107,1.841]",7.987e-10,***,Total-Lipids in Large LDL
Clinical LDL-C,"1.452 [1.086,1.818]",1.723e-09,***,Clinical LDL Cholesterol
L-LDL-CE,"1.401 [1.034,1.768]",1.591e-08,***,Cholesteryl Esters in Large LDL
M-HDL-CE%,"1.339 [0.956,1.722]",1.654e-06,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
LDL-C,"1.339 [0.974,1.704]",1.492e-07,***,LDL Cholesterol
M-LDL-C%,"1.322 [0.951,1.693]",6.481e-07,***,Cholesterol to Total-Lipids in Medium LDL percentage
LDL-L,"1.275 [0.910,1.640]",1.710e-06,***,Total-Lipids in LDL
M-LDL-FC,"1.275 [0.910,1.639]",1.614e-06,***,Free Cholesterol in Medium LDL
M-VLDL-PL%,"1.273 [0.893,1.654]",1.281e-05,***,Phospholipids to Total-Lipids in Medium VLDL percentage
M-VLDL-CE%,"1.253 [0.865,1.642]",5.956e-05,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
IDL-PL,"1.249 [0.872,1.626]",1.946e-05,***,Phospholipids in IDL
SFA,"1.247 [0.877,1.618]",9.419e-06,***,Saturated Fatty Acids
Non-HDL-C,"1.247 [0.881,1.612]",5.587e-06,***,Total-Cholesterol Minus HDL-C
LDL-CE,"1.240 [0.876,1.605]",5.995e-06,***,Cholesteryl Esters in LDL
LDL-PL,"1.234 [0.870,1.599]",7.503e-06,***,Phospholipids in LDL
M-VLDL-C%,"1.196 [0.807,1.585]",3.844e-04,***,Cholesterol to Total-Lipids in Medium VLDL percentage
SFA%,"1.146 [0.776,1.515]",2.769e-04,***,Saturated Fatty Acids to Total-Fatty Acids percentage
IDL-P,"1.144 [0.776,1.513]",2.641e-04,***,Concentration of IDL Particles
M-LDL-FC%,"1.143 [0.758,1.528]",0.001,**,Free Cholesterol to Total-Lipids in Medium LDL percentage
LA%,"1.135 [0.745,1.526]",0.003,**,Linoleic Acid to Total-Fatty Acids percentage
XL-VLDL-CE%,"1.115 [0.728,1.502]",0.004,**,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
Total-FA,"1.098 [0.729,1.468]",0.001,**,Total-Fatty Acids
XXL-VLDL-CE%,"1.087 [0.716,1.458]",0.002,**,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-VLDL-C%,"1.084 [0.710,1.458]",0.003,**,Cholesterol to Total-Lipids in Small VLDL percentage
Remnant-C,"1.050 [0.684,1.417]",0.005,**,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-LDL-C,"1.029 [0.665,1.393]",0.007,**,Cholesterol in Medium LDL
M-VLDL-FC%,"1.025 [0.640,1.409]",0.040,*,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-PL,"1.007 [0.642,1.371]",0.014,*,Phospholipids in Medium LDL
M-LDL-L,"0.988 [0.624,1.353]",0.024,*,Total-Lipids in Medium LDL
M-VLDL-TG%,"-1.116 [-1.504,-0.728]",0.004,**,Triglycerides to Total-Lipids in Medium VLDL percentage
Ile,"-1.124 [-1.497,-0.752]",7.540e-04,***,Isoleucine
ApoB/ApoA1,"-1.221 [-1.594,-0.849]",2.940e-05,***,Apolipoprotein B to Apolipoprotein A1 ratio
Pyruvate,"-1.233 [-1.596,-0.869]",6.674e-06,***,Pyruvate
S-LDL-TG%,"-1.240 [-1.619,-0.862]",2.974e-05,***,Triglycerides to Total-Lipids in Small LDL percentage
S-VLDL-TG%,"-1.248 [-1.624,-0.873]",1.727e-05,***,Triglycerides to Total-Lipids in Small VLDL percentage
Lactate,"-1.254 [-1.625,-0.882]",8.352e-06,***,Lactate
M-HDL-TG%,"-1.279 [-1.662,-0.895]",1.466e-05,***,Triglycerides to Total-Lipids in Medium HDL percentage
XS-VLDL-TG%,"-1.556 [-1.943,-1.170]",6.712e-10,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,"-1.600 [-1.974,-1.226]",1.162e-11,***,Triglycerides to Total-Lipids in Medium LDL percentage
Total-BCAA,"-1.617 [-1.999,-1.235]",2.515e-11,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
S-LDL-PL%,"-1.672 [-2.039,-1.304]",1.219e-13,***,Phospholipids to Total-Lipids in Small LDL percentage
Unsaturation,"-1.730 [-2.119,-1.340]",7.016e-13,***,Degree of Unsaturation
L-LDL-TG%,"-1.759 [-2.139,-1.379]",2.745e-14,***,Triglycerides to Total-Lipids in Large LDL percentage
S-HDL-TG%,"-1.845 [-2.235,-1.455]",4.226e-15,***,Triglycerides to Total-Lipids in Small HDL percentage
TG/PG,"-1.934 [-2.337,-1.531]",1.199e-15,***,Triglycerides to Phosphoglycerides ratio
IDL-TG%,"-2.074 [-2.457,-1.691]",5.828e-21,***,Triglycerides to Total-Lipids in IDL percentage
M-HDL-PL%,"-2.185 [-2.585,-1.785]",2.135e-21,***,Phospholipids to Total-Lipids in Medium HDL percentage
Val,"-2.275 [-2.660,-1.890]",1.044e-25,***,Valine
Ala,"-2.323 [-2.695,-1.950]",5.961e-29,***,Alanine
