Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Total-BCAA,"0.120 [0.046,0.194]",1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Val,"0.116 [0.042,0.190]",1.000,,Valine
Leu,"0.113 [0.040,0.186]",1.000,,Leucine
Ile,"0.109 [0.037,0.181]",1.000,,Isoleucine
M-LDL-PL%,"0.057 [-0.013,0.127]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
LA,"-0.002 [-0.072,0.068]",1.000,,Linoleic Acid
M-LDL-FC%,"-0.060 [-0.131,0.012]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Unsaturation,"-0.064 [-0.137,0.010]",1.000,,Degree of Unsaturation
PUFA%,"-0.082 [-0.154,-0.010]",1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Omega-6%,"-0.093 [-0.164,-0.022]",1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
