Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,"2.781 [2.288,3.275]",4.861e-23,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
IDL-PL%,"2.364 [1.891,2.836]",2.514e-17,***,Phospholipids to Total-Lipids in IDL percentage
GlycA,"2.054 [1.551,2.557]",2.910e-10,***,Glycoprotein Acetyls
IDL-TG%,"1.501 [1.004,1.999]",7.411e-04,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,"1.469 [0.975,1.962]",0.001,**,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,"1.290 [0.804,1.776]",0.044,*,Triglycerides to Total-Lipids in Medium LDL percentage
VLDL-PL,"-1.302 [-1.784,-0.820]",0.027,*,Phospholipids in VLDL
XS-VLDL-FC,"-1.337 [-1.821,-0.853]",0.014,*,Free Cholesterol in Very Small VLDL
S-VLDL-C,"-1.342 [-1.816,-0.867]",0.007,**,Cholesterol in Small VLDL
Leu,"-1.343 [-1.839,-0.847]",0.025,*,Leucine
VLDL-P,"-1.348 [-1.826,-0.871]",0.007,**,Concentration of VLDL Particles
VLDL-L,"-1.349 [-1.836,-0.863]",0.013,*,Total-Lipids in VLDL
VLDL-FC,"-1.378 [-1.857,-0.899]",0.004,**,Free Cholesterol in VLDL
S-LDL-C%,"-1.393 [-1.875,-0.912]",0.003,**,Cholesterol to Total-Lipids in Small LDL percentage
S-VLDL-PL,"-1.410 [-1.885,-0.935]",0.001,**,Phospholipids in Small VLDL
XS-VLDL-P,"-1.430 [-1.912,-0.948]",0.001,**,Concentration of Very Small VLDL Particles
XS-VLDL-L,"-1.437 [-1.921,-0.953]",0.001,**,Total-Lipids in Very Small VLDL
XS-VLDL-C%,"-1.437 [-1.943,-0.931]",0.006,**,Cholesterol to Total-Lipids in Very Small VLDL percentage
VLDL-C,"-1.473 [-1.948,-0.998]",2.859e-04,***,VLDL Cholesterol
VLDL-CE,"-1.479 [-1.953,-1.005]",2.240e-04,***,Cholesteryl Esters in VLDL
M-VLDL-P,"-1.531 [-2.006,-1.057]",5.801e-05,***,Concentration of Medium VLDL Particles
S-VLDL-FC,"-1.535 [-2.008,-1.061]",4.873e-05,***,Free Cholesterol in Small VLDL
PUFA,"-1.551 [-2.037,-1.065]",9.140e-05,***,Polyunsaturated Fatty Acids
M-VLDL-CE,"-1.570 [-2.049,-1.092]",2.897e-05,***,Cholesteryl Esters in Medium VLDL
Total-BCAA,"-1.579 [-2.076,-1.082]",1.110e-04,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
M-LDL-C%,"-1.597 [-2.079,-1.116]",1.836e-05,***,Cholesterol to Total-Lipids in Medium LDL percentage
