Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Tyr,"0.279 [0.129,0.429]",1.000,,Tyrosine
M-LDL-TG%,"0.114 [-0.037,0.264]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Gln,"0.083 [-0.066,0.231]",1.000,,Glutamine
Phe,"0.043 [-0.105,0.191]",1.000,,Phenylalanine
His,"0.035 [-0.111,0.180]",1.000,,Histidine
Total-FC,"-0.083 [-0.235,0.070]",1.000,,Total-Free Cholesterol
M-LDL-FC%,"-0.179 [-0.334,-0.024]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
XL-HDL-CE,"-0.409 [-0.578,-0.239]",0.539,,Cholesteryl Esters in Very Large HDL
L-HDL-C,"-0.418 [-0.592,-0.245]",0.536,,Cholesterol in Large HDL
L-HDL-CE,"-0.421 [-0.594,-0.247]",0.446,,Cholesteryl Esters in Large HDL
