Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.16 [1.01-1.34],1.000,,Triglycerides to Total-Lipids in IDL percentage
L-HDL-PL%,1.10 [0.96-1.27],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
M-LDL-PL%,1.06 [0.92-1.24],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
IDL-PL%,1.06 [0.92-1.23],1.000,,Phospholipids to Total-Lipids in IDL percentage
TG/PG,1.04 [0.89-1.21],1.000,,Triglycerides to Phosphoglycerides ratio
M-LDL-FC%,0.94 [0.82-1.08],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
VLDL-CE,0.93 [0.80-1.07],1.000,,Cholesteryl Esters in VLDL
PUFA/MUFA,0.91 [0.79-1.06],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
DHA%,0.90 [0.78-1.05],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
LA%,0.88 [0.76-1.02],1.000,,Linoleic Acid to Total-Fatty Acids percentage
