Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
LDL-CE,1.08 [1.00-1.18],1.000,,Cholesteryl Esters in LDL
Total-C,1.08 [0.99-1.18],1.000,,Total-Cholesterol
HDL-CE,1.04 [0.95-1.14],1.000,,Cholesteryl Esters in HDL
M-LDL-FC%,1.04 [0.95-1.13],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
VLDL-C,1.04 [0.96-1.12],1.000,,VLDL Cholesterol
L-VLDL-PL%,0.99 [0.91-1.09],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
L-VLDL-TG%,0.97 [0.89-1.05],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
M-LDL-TG%,0.96 [0.89-1.05],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
L-LDL-TG%,0.96 [0.88-1.05],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
L-LDL-PL%,0.94 [0.86-1.02],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
