Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.31 [1.12-1.53],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
S-HDL-TG%,1.26 [1.04-1.52],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
M-VLDL-TG%,1.14 [0.94-1.37],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-PL%,1.11 [0.93-1.33],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
S-HDL-FC%,1.10 [0.91-1.32],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
M-LDL-PL%,0.98 [0.82-1.17],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-VLDL-CE%,0.90 [0.78-1.04],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,0.90 [0.76-1.06],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.89 [0.76-1.04],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-FC%,0.85 [0.73-1.00],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
