Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,1.25 [1.04-1.52],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Omega-6/Omega-3,1.23 [1.03-1.47],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
M-LDL-TG%,1.20 [1.01-1.43],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
ApoB/ApoA1,1.05 [0.88-1.25],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
VLDL-C,1.01 [0.84-1.20],1.000,,VLDL Cholesterol
Remnant-C,0.97 [0.82-1.16],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.97 [0.81-1.15],1.000,,Total-Cholesterol Minus HDL-C
Total-C,0.94 [0.79-1.13],1.000,,Total-Cholesterol
M-LDL-FC%,0.90 [0.76-1.08],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-CE,0.88 [0.72-1.08],1.000,,Cholesteryl Esters in HDL
