Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.55 [1.34-1.78],5.915e-04,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
L-LDL-TG%,1.50 [1.31-1.72],0.001,**,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.44 [1.26-1.63],0.011,*,Triglycerides to Total-Lipids in Medium LDL percentage
S-HDL-PL%,1.19 [1.04-1.37],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
M-VLDL-TG%,1.07 [0.93-1.23],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-C%,0.70 [0.63-0.79],8.547e-04,***,Cholesterol to Total-Lipids in Medium LDL percentage
Albumin,0.70 [0.62-0.79],0.005,**,Albumin
IDL-CE%,0.69 [0.61-0.79],0.005,**,Cholesteryl Esters to Total-Lipids in IDL percentage
Total-CE,0.69 [0.60-0.79],0.040,*,Total-Esterified Cholesterol
L-LDL-CE%,0.68 [0.60-0.78],8.899e-04,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
S-HDL-L,0.68 [0.59-0.78],0.025,*,Total-Lipids in Small HDL
Total-P,0.66 [0.57-0.77],0.019,*,Total-Concentration of Lipoprotein Particles
S-HDL-P,0.64 [0.55-0.74],2.288e-04,***,Concentration of Small HDL Particles
S-HDL-C,0.64 [0.55-0.73],7.509e-05,***,Cholesterol in Small HDL
L-LDL-C%,0.63 [0.56-0.72],1.102e-06,***,Cholesterol to Total-Lipids in Large LDL percentage
S-HDL-CE,0.63 [0.55-0.73],3.158e-05,***,Cholesteryl Esters in Small HDL
