Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Omega-6/Omega-3,1.06 [0.99-1.14],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Leu,1.02 [0.95-1.10],1.000,,Leucine
Ile,1.02 [0.95-1.10],1.000,,Isoleucine
M-LDL-FC%,1.01 [0.95-1.09],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Total-BCAA,1.01 [0.94-1.09],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
M-VLDL-C%,0.98 [0.91-1.05],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
LDL-C,0.95 [0.89-1.02],1.000,,LDL Cholesterol
Total-C,0.95 [0.88-1.02],1.000,,Total-Cholesterol
Remnant-C,0.95 [0.89-1.02],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.95 [0.88-1.02],1.000,,Total-Cholesterol Minus HDL-C
