Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-PL%,1.07 [0.99-1.15],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Gly,1.05 [0.97-1.13],1.000,,Glycine
ApoB/ApoA1,1.03 [0.95-1.10],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
His,1.02 [0.95-1.10],1.000,,Histidine
VLDL-C,1.01 [0.94-1.08],1.000,,VLDL Cholesterol
LA,0.99 [0.92-1.07],1.000,,Linoleic Acid
Omega-6,0.98 [0.91-1.06],1.000,,Omega-6 Fatty Acids
M-LDL-FC%,0.96 [0.89-1.03],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Omega-3,0.94 [0.87-1.01],1.000,,Omega-3 Fatty Acids
DHA,0.93 [0.86-1.00],1.000,,Docosahexaenoic Acid
