Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-LDL-CE%,1.07 [0.99-1.15],1.000,,Cholesteryl Esters to Total-Lipids in Small LDL percentage
S-LDL-C%,1.06 [0.98-1.15],1.000,,Cholesterol to Total-Lipids in Small LDL percentage
M-VLDL-TG%,1.05 [0.97-1.13],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-PL%,1.04 [0.96-1.13],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
S-HDL-CE%,1.02 [0.94-1.10],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
M-LDL-TG%,0.98 [0.91-1.06],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-LDL-PL%,0.97 [0.90-1.04],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-LDL-FC%,0.96 [0.88-1.04],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-CE%,0.95 [0.88-1.03],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.95 [0.88-1.03],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
