Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
GlycA,1.09 [1.06-1.13],0.005,**,Glycoprotein Acetyls
MUFA%,1.09 [1.06-1.12],0.007,**,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
VLDL-size,1.09 [1.05-1.12],0.022,*,Average Diameter for VLDL Particles
MUFA,1.08 [1.05-1.11],0.011,*,Monounsaturated Fatty Acids
VLDL-TG,1.08 [1.05-1.11],0.037,*,Triglycerides in VLDL
Total-TG,1.08 [1.05-1.11],0.032,*,Total-Triglycerides
XL-VLDL-TG,1.08 [1.05-1.11],0.041,*,Triglycerides in Very Large VLDL
L-LDL-FC%,0.93 [0.90-0.95],0.021,*,Free Cholesterol to Total-Lipids in Large LDL percentage
L-VLDL-CE%,0.92 [0.90-0.95],0.029,*,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
PUFA%,0.92 [0.89-0.94],2.910e-04,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-CE%,0.91 [0.88-0.94],8.287e-04,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,0.91 [0.88-0.94],8.715e-04,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
PUFA/MUFA,0.91 [0.88-0.94],2.593e-04,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Omega-6%,0.91 [0.88-0.93],8.650e-07,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
LA%,0.90 [0.87-0.92],3.675e-08,***,Linoleic Acid to Total-Fatty Acids percentage
