Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-HDL-CE%,1.07 [0.87-1.31],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
S-HDL-C%,1.06 [0.87-1.30],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
M-LDL-PL%,1.06 [0.87-1.29],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-VLDL-TG%,1.05 [0.85-1.28],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.02 [0.83-1.24],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-LDL-FC%,0.97 [0.79-1.20],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-CE%,0.97 [0.79-1.20],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-PL%,0.97 [0.79-1.19],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.96 [0.78-1.18],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,0.94 [0.77-1.16],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
