Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-PL%,1.06 [1.00-1.12],1.000,,Phospholipids to Total-Lipids in IDL percentage
IDL-FC%,1.04 [0.98-1.11],1.000,,Free Cholesterol to Total-Lipids in IDL percentage
TG/PG,1.03 [0.97-1.10],1.000,,Triglycerides to Phosphoglycerides ratio
IDL-TG%,1.03 [0.97-1.09],1.000,,Triglycerides to Total-Lipids in IDL percentage
M-LDL-FC%,1.00 [0.94-1.06],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-C%,1.00 [0.94-1.06],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
VLDL-CE,0.98 [0.93-1.04],1.000,,Cholesteryl Esters in VLDL
Total-CE,0.93 [0.88-0.99],1.000,,Total-Esterified Cholesterol
Omega-6/Omega-3,0.92 [0.87-0.98],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
LA%,0.91 [0.86-0.97],1.000,,Linoleic Acid to Total-Fatty Acids percentage
