Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
LA%,"8.812 [5.236,12.388]",0.316,,Linoleic Acid to Total-Fatty Acids percentage
M-LDL-C%,"4.391 [0.760,8.023]",1.000,,Cholesterol to Total-Lipids in Medium LDL percentage
Gln,"2.530 [-1.000,6.061]",1.000,,Glutamine
M-LDL-CE%,"0.809 [-2.751,4.370]",1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-HDL-TG%,"0.444 [-3.149,4.036]",1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
M-LDL-PL%,"-0.532 [-4.037,2.974]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Total-FA,"-0.657 [-4.058,2.744]",1.000,,Total-Fatty Acids
HDL-FC,"-1.857 [-6.124,2.411]",1.000,,Free Cholesterol in HDL
Creatinine,"-2.266 [-6.181,1.650]",1.000,,Creatinine
L-HDL-PL%,"-9.494 [-12.975,-6.013]",0.021,*,Phospholipids to Total-Lipids in Large HDL percentage
