Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
PUFA/MUFA,"15.631 [7.413,23.849]",1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
DHA%,"13.966 [6.046,21.886]",1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
M-LDL-FC%,"12.212 [4.289,20.136]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Omega-3%,"11.129 [2.926,19.332]",1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
LA%,"4.470 [-3.838,12.778]",1.000,,Linoleic Acid to Total-Fatty Acids percentage
Val,"-1.876 [-10.460,6.708]",1.000,,Valine
Total-BCAA,"-5.411 [-13.878,3.056]",1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
M-LDL-TG%,"-11.174 [-19.318,-3.029]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
GlycA,"-22.497 [-30.963,-14.031]",0.044,*,Glycoprotein Acetyls
Creatinine,"-23.133 [-32.209,-14.056]",0.136,,Creatinine
