Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
SFA%,"0.027 [0.019,0.035]",1.970e-05,***,Saturated Fatty Acids to Total-Fatty Acids percentage
HDL-FC,"0.026 [0.016,0.036]",0.144,,Free Cholesterol in HDL
HDL-PL,"0.025 [0.015,0.034]",0.058,,Phospholipids in HDL
ApoA1,"0.024 [0.014,0.033]",0.151,,Apolipoprotein A1
M-HDL-PL,"0.023 [0.014,0.032]",0.103,,Phospholipids in Medium HDL
DHA%,"-0.002 [-0.010,0.007]",1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
M-LDL-FC%,"-0.003 [-0.011,0.005]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Omega-6/Omega-3,"-0.004 [-0.012,0.005]",1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
PUFA/MUFA,"-0.006 [-0.015,0.002]",1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
ApoB/ApoA1,"-0.010 [-0.018,-0.001]",1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
