Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-C%,"1.958 [-0.180,4.097]",1.000,,Cholesterol to Total-Lipids in Medium LDL percentage
Gln,"1.760 [-0.318,3.838]",1.000,,Glutamine
M-LDL-FC%,"0.966 [-1.045,2.977]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-LDL-CE%,"0.715 [-1.382,2.812]",1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-HDL-TG%,"0.297 [-1.818,2.412]",1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
Total-FA,"-0.592 [-2.594,1.411]",1.000,,Total-Fatty Acids
M-LDL-PL%,"-0.779 [-2.844,1.285]",1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
HDL-FC,"-0.935 [-3.448,1.577]",1.000,,Free Cholesterol in HDL
Creatinine,"-1.136 [-3.441,1.170]",1.000,,Creatinine
Lactate,"-1.257 [-3.395,0.881]",1.000,,Lactate
