Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
ApoB/ApoA1,"12.350 [2.788,21.912]",1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
M-LDL-FC%,"9.564 [0.318,18.810]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
ApoB,"9.003 [-0.543,18.548]",1.000,,Apolipoprotein B
Clinical LDL-C,"8.699 [-0.780,18.178]",1.000,,Clinical LDL Cholesterol
LDL-C,"7.127 [-2.304,16.558]",1.000,,LDL Cholesterol
Total-FA,"-3.522 [-12.730,5.686]",1.000,,Total-Fatty Acids
SFA,"-4.804 [-13.932,4.324]",1.000,,Saturated Fatty Acids
MUFA,"-6.629 [-15.869,2.611]",1.000,,Monounsaturated Fatty Acids
Creatinine,"-7.349 [-17.948,3.251]",1.000,,Creatinine
M-LDL-TG%,"-12.063 [-21.565,-2.562]",1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
