Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
ApoB/ApoA1,"14.776 [4.320,25.233]",1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
ApoB,"12.047 [1.610,22.483]",1.000,,Apolipoprotein B
Clinical LDL-C,"10.243 [-0.122,20.608]",1.000,,Clinical LDL Cholesterol
M-LDL-FC%,"9.177 [-0.941,19.295]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
LDL-C,"8.451 [-1.861,18.762]",1.000,,LDL Cholesterol
Total-FA,"-5.457 [-15.530,4.616]",1.000,,Total-Fatty Acids
SFA,"-7.874 [-17.858,2.111]",1.000,,Saturated Fatty Acids
Creatinine,"-8.701 [-20.298,2.896]",1.000,,Creatinine
MUFA,"-8.811 [-18.922,1.300]",1.000,,Monounsaturated Fatty Acids
L-HDL-PL%,"-26.552 [-36.864,-16.239]",0.104,,Phospholipids to Total-Lipids in Large HDL percentage
