Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
ApoB,"0.408 [0.043,0.773]",1.000,,Apolipoprotein B
ApoB/ApoA1,"0.335 [-0.037,0.707]",1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
ApoA1,"0.038 [-0.363,0.439]",1.000,,Apolipoprotein A1
M-VLDL-FC%,"0.014 [-0.348,0.376]",1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
Val,"0.014 [-0.383,0.411]",1.000,,Valine
M-LDL-FC%,"-0.196 [-0.550,0.158]",1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Omega-6%,"-0.293 [-0.649,0.064]",1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
PUFA%,"-0.434 [-0.792,-0.075]",1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Omega-3%,"-0.474 [-0.844,-0.105]",1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
DHA%,"-0.563 [-0.926,-0.201]",1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
