Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-FC%,"8.757 [7.321,10.193]",1.832e-27,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
Creatinine,"8.102 [6.676,9.527]",2.239e-23,***,Creatinine
TG/PG,"7.110 [5.671,8.550]",9.210e-17,***,Triglycerides to Phosphoglycerides ratio
VLDL-size,"6.893 [5.475,8.312]",4.221e-16,***,Average Diameter for VLDL Particles
ApoB/ApoA1,"6.558 [5.150,7.965]",1.681e-14,***,Apolipoprotein B to Apolipoprotein A1 ratio
XL-HDL-C%,"6.341 [4.955,7.726]",7.372e-14,***,Cholesterol to Total-Lipids in Very Large HDL percentage
L-VLDL-FC,"5.409 [3.985,6.833]",2.264e-08,***,Free Cholesterol in Large VLDL
L-VLDL-L,"5.399 [3.980,6.819]",2.092e-08,***,Total-Lipids in Large VLDL
XL-HDL-TG%,"5.395 [3.947,6.844]",6.759e-08,***,Triglycerides to Total-Lipids in Very Large HDL percentage
L-HDL-TG%,"5.383 [3.952,6.814]",3.954e-08,***,Triglycerides to Total-Lipids in Large HDL percentage
L-VLDL-PL,"5.258 [3.830,6.686]",1.267e-07,***,Phospholipids in Large VLDL
XL-VLDL-L,"5.240 [3.803,6.676]",2.051e-07,***,Total-Lipids in Very Large VLDL
L-VLDL-TG,"5.197 [3.776,6.619]",1.787e-07,***,Triglycerides in Large VLDL
XL-VLDL-C,"5.190 [3.766,6.614]",2.140e-07,***,Cholesterol in Very Large VLDL
XL-VLDL-PL,"5.139 [3.701,6.576]",5.692e-07,***,Phospholipids in Very Large VLDL
L-VLDL-C,"5.133 [3.721,6.546]",2.503e-07,***,Cholesterol in Large VLDL
L-VLDL-P,"5.115 [3.688,6.541]",4.894e-07,***,Concentration of Large VLDL Particles
XL-VLDL-CE,"5.099 [3.683,6.514]",3.955e-07,***,Cholesteryl Esters in Very Large VLDL
