Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Glu-lactate,"0.230 [0.194,0.267]",1.314e-29,***,Glucose-lactate
Albumin,"0.220 [0.185,0.255]",5.337e-29,***,Albumin
S-HDL-C,"0.215 [0.180,0.250]",2.505e-27,***,Cholesterol in Small HDL
S-HDL-P,"0.214 [0.179,0.250]",4.040e-27,***,Concentration of Small HDL Particles
S-HDL-CE,"0.213 [0.177,0.248]",8.539e-27,***,Cholesteryl Esters in Small HDL
Total-P,"0.204 [0.166,0.241]",2.817e-21,***,Total-Concentration of Lipoprotein Particles
3-Hydroxybutyrate,"0.201 [0.165,0.236]",3.927e-23,***,3-Hydroxybutyrate
S-HDL-FC,"0.196 [0.160,0.232]",4.868e-21,***,Free Cholesterol in Small HDL
SM,"0.196 [0.158,0.233]",2.586e-19,***,Sphingomyelins
HDL-P,"0.193 [0.155,0.230]",1.910e-18,***,Concentration of HDL Particles
Lactate,"0.191 [0.157,0.225]",4.202e-23,***,Lactate
S-HDL-L,"0.190 [0.155,0.226]",2.783e-20,***,Total-Lipids in Small HDL
XL-HDL-CE%,"0.176 [0.139,0.212]",1.088e-15,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
Total-CE,"0.175 [0.139,0.212]",1.018e-15,***,Total-Esterified Cholesterol
S-HDL-PL,"0.175 [0.139,0.211]",3.729e-16,***,Phospholipids in Small HDL
Total-PL,"0.172 [0.135,0.209]",1.405e-14,***,Total-Phospholipids in Lipoprotein Particles
Cholines,"0.171 [0.134,0.209]",6.971e-14,***,Total-Cholines
Total-C,"0.171 [0.134,0.207]",7.507e-15,***,Total-Cholesterol
M-LDL-CE,"0.169 [0.133,0.204]",4.805e-15,***,Cholesteryl Esters in Medium LDL
M-LDL-C,"0.168 [0.133,0.204]",4.050e-15,***,Cholesterol in Medium LDL
M-LDL-L,"0.166 [0.131,0.202]",1.205e-14,***,Total-Lipids in Medium LDL
Total-L,"0.163 [0.127,0.199]",1.131e-13,***,Total-Lipids in Lipoprotein Particles
Phosphoglyc,"0.162 [0.125,0.199]",4.191e-12,***,Phosphoglycerides
LDL-CE,"0.160 [0.124,0.195]",2.866e-13,***,Cholesteryl Esters in LDL
LDL-L,"0.159 [0.124,0.195]",2.952e-13,***,Total-Lipids in LDL
LDL-C,"0.159 [0.123,0.194]",4.216e-13,***,LDL Cholesterol
M-LDL-FC,"0.159 [0.123,0.195]",5.820e-13,***,Free Cholesterol in Medium LDL
M-LDL-PL,"0.158 [0.122,0.194]",9.697e-13,***,Phospholipids in Medium LDL
LDL-PL,"0.158 [0.122,0.193]",8.277e-13,***,Phospholipids in LDL
L-LDL-PL,"0.157 [0.121,0.192]",2.063e-12,***,Phospholipids in Large LDL
Total-FC,"0.157 [0.120,0.193]",4.850e-12,***,Total-Free Cholesterol
S-LDL-C,"0.155 [0.120,0.191]",3.183e-12,***,Cholesterol in Small LDL
L-LDL-L,"0.155 [0.119,0.191]",3.817e-12,***,Total-Lipids in Large LDL
S-LDL-CE,"0.154 [0.119,0.190]",5.456e-12,***,Cholesteryl Esters in Small LDL
SFA,"0.154 [0.118,0.191]",3.140e-11,***,Saturated Fatty Acids
Clinical LDL-C,"0.154 [0.119,0.190]",4.593e-12,***,Clinical LDL Cholesterol
ApoA1,"0.154 [0.115,0.193]",2.175e-09,***,Apolipoprotein A1
L-LDL-CE,"0.153 [0.117,0.189]",1.010e-11,***,Cholesteryl Esters in Large LDL
L-LDL-C,"0.153 [0.117,0.189]",1.223e-11,***,Cholesterol in Large LDL
S-LDL-L,"0.153 [0.117,0.189]",1.268e-11,***,Total-Lipids in Small LDL
M-HDL-CE,"0.152 [0.113,0.191]",4.563e-09,***,Cholesteryl Esters in Medium HDL
LDL-FC,"0.152 [0.116,0.188]",2.525e-11,***,Free Cholesterol in LDL
M-HDL-C,"0.151 [0.112,0.190]",6.546e-09,***,Cholesterol in Medium HDL
L-LDL-FC,"0.148 [0.112,0.184]",2.388e-10,***,Free Cholesterol in Large LDL
M-LDL-P,"0.147 [0.111,0.183]",2.514e-10,***,Concentration of Medium LDL Particles
HDL-CE,"0.146 [0.105,0.186]",4.499e-07,***,Cholesteryl Esters in HDL
PC,"0.145 [0.107,0.182]",1.382e-08,***,Phosphatidylcholines
S-LDL-PL,"0.144 [0.108,0.180]",7.672e-10,***,Phospholipids in Small LDL
Non-HDL-C,"0.144 [0.109,0.180]",4.392e-10,***,Total-Cholesterol Minus HDL-C
S-LDL-FC,"0.144 [0.108,0.180]",7.276e-10,***,Free Cholesterol in Small LDL
HDL-C,"0.143 [0.103,0.184]",1.112e-06,***,HDL Cholesterol
Total-FA,"0.143 [0.107,0.179]",2.366e-09,***,Total-Fatty Acids
M-HDL-FC,"0.143 [0.104,0.182]",2.065e-07,***,Free Cholesterol in Medium HDL
M-HDL-P,"0.141 [0.102,0.180]",1.944e-07,***,Concentration of Medium HDL Particles
PUFA,"0.141 [0.105,0.177]",6.276e-09,***,Polyunsaturated Fatty Acids
Omega-6,"0.137 [0.101,0.174]",1.999e-08,***,Omega-6 Fatty Acids
IDL-FC,"0.137 [0.101,0.174]",4.589e-08,***,Free Cholesterol in IDL
M-HDL-L,"0.137 [0.098,0.175]",7.405e-07,***,Total-Lipids in Medium HDL
XL-HDL-C%,"0.135 [0.097,0.174]",1.147e-06,***,Cholesterol to Total-Lipids in Very Large HDL percentage
LDL-P,"0.134 [0.098,0.169]",6.138e-08,***,Concentration of LDL Particles
HDL-L,"0.131 [0.091,0.171]",3.230e-05,***,Total-Lipids in HDL
M-HDL-FC%,"0.131 [0.091,0.171]",3.458e-05,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
ApoB,"0.128 [0.092,0.164]",4.597e-07,***,Apolipoprotein B
S-VLDL-FC,"0.127 [0.091,0.162]",1.068e-06,***,Free Cholesterol in Small VLDL
L-LDL-P,"0.126 [0.090,0.162]",1.342e-06,***,Concentration of Large LDL Particles
M-HDL-PL,"0.126 [0.088,0.164]",2.341e-05,***,Phospholipids in Medium HDL
IDL-C,"0.125 [0.088,0.162]",5.406e-06,***,Cholesterol in IDL
XS-VLDL-FC%,"0.125 [0.089,0.161]",2.499e-06,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
HDL-FC,"0.124 [0.084,0.165]",3.960e-04,***,Free Cholesterol in HDL
IDL-L,"0.124 [0.088,0.161]",6.684e-06,***,Total-Lipids in IDL
M-VLDL-FC,"0.124 [0.088,0.160]",2.762e-06,***,Free Cholesterol in Medium VLDL
M-LDL-C%,"0.124 [0.088,0.160]",4.602e-06,***,Cholesterol to Total-Lipids in Medium LDL percentage
Remnant-C,"0.124 [0.088,0.159]",2.786e-06,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-VLDL-P,"0.123 [0.087,0.160]",4.153e-06,***,Concentration of Medium VLDL Particles
M-VLDL-C,"0.121 [0.085,0.157]",8.101e-06,***,Cholesterol in Medium VLDL
IDL-CE,"0.120 [0.083,0.156]",3.858e-05,***,Cholesteryl Esters in IDL
HDL-PL,"0.120 [0.080,0.159]",7.586e-04,***,Phospholipids in HDL
S-VLDL-PL,"0.119 [0.083,0.155]",1.992e-05,***,Phospholipids in Small VLDL
S-LDL-P,"0.119 [0.083,0.155]",2.015e-05,***,Concentration of Small LDL Particles
M-VLDL-PL,"0.118 [0.083,0.154]",2.268e-05,***,Phospholipids in Medium VLDL
S-LDL-C%,"0.118 [0.082,0.154]",2.338e-05,***,Cholesterol to Total-Lipids in Small LDL percentage
M-VLDL-L,"0.118 [0.082,0.154]",3.084e-05,***,Total-Lipids in Medium VLDL
M-LDL-CE%,"0.117 [0.081,0.153]",4.127e-05,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
GlycA,"0.115 [0.078,0.153]",4.792e-04,***,Glycoprotein Acetyls
IDL-PL,"0.115 [0.078,0.152]",2.145e-04,***,Phospholipids in IDL
S-VLDL-C,"0.114 [0.078,0.150]",1.132e-04,***,Cholesterol in Small VLDL
M-VLDL-CE,"0.114 [0.078,0.150]",1.630e-04,***,Cholesteryl Esters in Medium VLDL
M-HDL-C%,"0.112 [0.073,0.151]",0.004,**,Cholesterol to Total-Lipids in Medium HDL percentage
LA,"0.112 [0.076,0.148]",2.489e-04,***,Linoleic Acid
VLDL-FC,"0.111 [0.074,0.147]",5.253e-04,***,Free Cholesterol in VLDL
MUFA,"0.109 [0.073,0.146]",0.001,**,Monounsaturated Fatty Acids
SFA%,"0.108 [0.071,0.145]",0.002,**,Saturated Fatty Acids to Total-Fatty Acids percentage
VLDL-C,"0.108 [0.072,0.144]",8.683e-04,***,VLDL Cholesterol
Glu,"0.106 [0.069,0.143]",0.006,**,Glucose
S-VLDL-CE,"0.105 [0.069,0.141]",0.002,**,Cholesteryl Esters in Small VLDL
M-LDL-TG,"0.104 [0.067,0.142]",0.008,**,Triglycerides in Medium LDL
VLDL-CE,"0.103 [0.067,0.139]",0.004,**,Cholesteryl Esters in VLDL
DHA,"0.102 [0.065,0.139]",0.021,*,Docosahexaenoic Acid
L-LDL-TG,"0.102 [0.065,0.139]",0.014,*,Triglycerides in Large LDL
LDL-TG,"0.101 [0.064,0.138]",0.021,*,Triglycerides in LDL
S-VLDL-L,"0.100 [0.064,0.137]",0.013,*,Total-Lipids in Small VLDL
VLDL-P,"0.100 [0.064,0.136]",0.016,*,Concentration of VLDL Particles
S-HDL-C%,"0.100 [0.063,0.136]",0.025,*,Cholesterol to Total-Lipids in Small HDL percentage
IDL-P,"0.099 [0.063,0.136]",0.017,*,Concentration of IDL Particles
VLDL-PL,"0.098 [0.062,0.135]",0.029,*,Phospholipids in VLDL
S-LDL-CE%,"0.098 [0.063,0.133]",0.011,*,Cholesteryl Esters to Total-Lipids in Small LDL percentage
IDL-FC%,"0.097 [0.061,0.133]",0.025,*,Free Cholesterol to Total-Lipids in IDL percentage
M-LDL-PL%,"-0.108 [-0.143,-0.072]",9.808e-04,***,Phospholipids to Total-Lipids in Medium LDL percentage
Acetate,"-0.113 [-0.149,-0.077]",1.764e-04,***,Acetate
Creatinine,"-0.128 [-0.171,-0.086]",7.279e-04,***,Creatinine
XL-HDL-PL%,"-0.129 [-0.169,-0.090]",3.563e-05,***,Phospholipids to Total-Lipids in Very Large HDL percentage
Gly,"-0.132 [-0.171,-0.093]",6.868e-06,***,Glycine
M-HDL-PL%,"-0.141 [-0.181,-0.102]",6.511e-07,***,Phospholipids to Total-Lipids in Medium HDL percentage
Val,"-0.185 [-0.224,-0.147]",1.666e-15,***,Valine
Tyr,"-0.194 [-0.233,-0.155]",1.549e-17,***,Tyrosine
Gln,"-0.198 [-0.234,-0.163]",7.102e-22,***,Glutamine
Total-BCAA,"-0.251 [-0.290,-0.211]",1.335e-30,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Leu,"-0.277 [-0.317,-0.237]",1.082e-36,***,Leucine
Phe,"-0.285 [-0.322,-0.247]",5.834e-44,***,Phenylalanine
Ile,"-0.317 [-0.356,-0.278]",1.233e-52,***,Isoleucine
